feature,correlation_with_target,absolute_correlation,n_observations,interpretation
close_relative_to_3d,-0.8839465431623573,0.8839465431623573,8,"close_relative_to_3d has a strong negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
return_lag_1,-0.7455949146246816,0.7455949146246816,8,"return_lag_1 has a strong negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
weekday_Monday,0.6947946995144192,0.6947946995144192,8,"weekday_Monday has a moderate positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
volume_pct_change_1,-0.596568967541323,0.596568967541323,8,"volume_pct_change_1 has a moderate negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
return_lag_1_x_volume_change_1,0.5783855316784582,0.5783855316784582,8,"return_lag_1_x_volume_change_1 has a moderate positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
return_rolling_mean_3,-0.5355658543640361,0.5355658543640361,8,"return_rolling_mean_3 has a moderate negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
weekday_Thursday,-0.5307012444161587,0.5307012444161587,8,"weekday_Thursday has a moderate negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
return_rolling_volatility_5,0.4963819900626149,0.4963819900626149,8,"return_rolling_volatility_5 has a moderate positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
volume_relative_to_5d,-0.44573917259833784,0.44573917259833784,8,"volume_relative_to_5d has a moderate negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
log_volume,-0.441982619424059,0.441982619424059,8,"log_volume has a moderate negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
weekday_Wednesday,-0.3925311678429299,0.3925311678429299,8,"weekday_Wednesday has a weak negative sample correlation with the target (n=8); treat this as screening evidence, not proof."
weekday_Tuesday,0.30989458444724854,0.30989458444724854,8,"weekday_Tuesday has a weak positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
weekday_Friday,0.10825302120773744,0.10825302120773744,8,"weekday_Friday has a weak positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
return_lag_3,0.06005695092875402,0.06005695092875402,8,"return_lag_3 has a weak positive sample correlation with the target (n=8); treat this as screening evidence, not proof."
