feature,definition,stage08_eda_link,rationale,leakage_note
return_lag_1,Daily return at t-1.,Stage 08 return distribution and time-series plot.,"Stage 08 showed daily returns move around a near-zero center, so yesterday's return may summarize recent momentum or reversal pressure.",Uses only the previous trading day's return.
return_lag_3,Daily return at t-3.,Stage 08 time-series movement in daily returns.,Adds short-memory return behavior without duplicating the one-day lag.,Uses only the return three trading days before date t.
return_rolling_mean_3,Mean return from t-3 through t-1.,"Stage 08 found return volatility and short sample swings, making a smoothed signal more stable than a single return.",Smooths noisy daily returns into a recent directional signal.,"Returns are shifted before rolling, so the current and future returns are excluded."
return_rolling_volatility_5,Population standard deviation of returns from t-5 through t-1.,Stage 08 distribution and boxplot highlighted variation in daily returns.,Recent realized volatility is a natural predictor for near-future volatility clustering.,Uses only prior returns.
volume_pct_change_1,Current volume percent change from t-1.,Stage 08 volume distribution showed variation across trading days.,Sudden activity changes can coincide with market stress or information arrival.,"Uses current volume and the previous day's volume, both available at date t close."
volume_relative_to_5d,Current volume divided by mean volume from t-5 through t-1.,Stage 08 volume analysis suggested scale differences that are easier to interpret as a relative measure.,Compares today's trading activity with recent baseline activity.,The comparison baseline uses only prior volume.
log_volume,Natural logarithm of current volume.,Stage 08 descriptive statistics showed volume is much larger in scale than return features.,Reduces the scale of large volume counts while preserving order.,Uses only current-date volume.
close_relative_to_3d,Current close relative to the mean close from t-3 through t-1.,Stage 08 price trend plot showed short-run level changes.,Measures whether price is extended relative to a short prior baseline.,The denominator uses only prior closes.
return_lag_1_x_volume_change_1,Lagged return multiplied by current one-day volume change.,"Stage 08 bivariate checks considered return, volume, and price relationships.","Combines direction and activity, allowing high-volume moves to carry different information than quiet moves.",Uses lagged return and current volume change only.
weekday_Friday,One-hot indicator for Friday.,"Stage 08 noted the sample is chronological and short, so calendar effects must be treated as tentative.",Encodes the categorical day-of-week field required by the assignment and tests whether weekday patterns carry signal.,Calendar information is known at date t.
weekday_Monday,One-hot indicator for Monday.,"Stage 08 noted the sample is chronological and short, so calendar effects must be treated as tentative.",Encodes the categorical day-of-week field required by the assignment and tests whether weekday patterns carry signal.,Calendar information is known at date t.
weekday_Thursday,One-hot indicator for Thursday.,"Stage 08 noted the sample is chronological and short, so calendar effects must be treated as tentative.",Encodes the categorical day-of-week field required by the assignment and tests whether weekday patterns carry signal.,Calendar information is known at date t.
weekday_Tuesday,One-hot indicator for Tuesday.,"Stage 08 noted the sample is chronological and short, so calendar effects must be treated as tentative.",Encodes the categorical day-of-week field required by the assignment and tests whether weekday patterns carry signal.,Calendar information is known at date t.
weekday_Wednesday,One-hot indicator for Wednesday.,"Stage 08 noted the sample is chronological and short, so calendar effects must be treated as tentative.",Encodes the categorical day-of-week field required by the assignment and tests whether weekday patterns carry signal.,Calendar information is known at date t.
